,Unnamed: 0,Variant,"Region, subregion, country or area *",Type,Year,"Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)",Population Change (thousands),Population Growth Rate (percentage),Births (thousands),Births by women aged 15 to 19 (thousands),Total Fertility Rate (live births per woman),Mean Age Childbearing (years),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)","Total Population, as of 1 July",Total Population (Billions),Births (Millions),Births (single)
43219,33,Medium,WORLD,World,2055,9908304.869,4949734.453,4958570.416,75.982,99.822,36.882,35585.044,35584.6,0.359,132714.688,9309.997,2.103,29.121,97129.644,50629.7,46499.944,77.792,75.341,80.346,0,0,9908304869.0,9.908304869,132.714688,132714688
43220,34,Medium,WORLD,World,2056,9943123.262,4966487.217,4976636.046,76.249,99.796,37.057,34052.885,34052.187,0.342,132266.791,9202.647,2.095,29.141,98213.906,51154.894,47059.012,77.895,75.45,80.444,0,0,9943123262.0,9.943123262,132.26679099999998,132266791
43221,35,Medium,WORLD,World,2057,9976440.15,4982497.873,4993942.277,76.504,99.771,37.218,32582.097,32581.589,0.327,131830.892,9091.166,2.086,29.162,99248.795,51656.935,47591.86,78.002,75.562,80.546,0,0,9976440150.0,9.97644015,131.830892,131830892
43222,36,Medium,WORLD,World,2058,10008310.111,4997790.059,5010520.052,76.749,99.746,37.364,31158.918,31158.331,0.311,131417.752,8969.535,2.077,29.184,100258.834,52153.879,48104.955,78.107,75.672,80.648,0,0,10008310111.0,10.008310111,131.417752,131417752
43223,37,Medium,WORLD,World,2059,10038705.861,5012352.828,5026353.033,76.982,99.721,37.496,29634.121,29633.17,0.295,130875.447,8848.458,2.065,29.204,101241.326,52625.312,48616.014,78.21,75.782,80.746,0,0,10038705861.0,10.038705861,130.875447,130875447
43224,38,Medium,WORLD,World,2060,10067733.606,5026244.57,5041489.037,77.205,99.698,37.618,28422.712,28422.321,0.282,130616.046,8736.032,2.057,29.226,102193.334,53084.632,49108.702,78.314,75.892,80.844,0,0,10067733606.0,10.067733606,130.616046,130616046
43225,39,Medium,WORLD,World,2061,10095573.064,5039552.513,5056020.551,77.418,99.674,37.735,27257.14,27256.594,0.27,130382.676,8624.068,2.049,29.247,103125.536,53539.498,49586.038,78.415,75.998,80.942,0,0,10095573064.0,10.095573064,130.382676,130382676
43226,40,Medium,WORLD,World,2062,10122307.679,5052325.261,5069982.418,77.623,99.652,37.851,26213.275,26212.636,0.259,130229.106,8513.226,2.043,29.268,104015.831,53955.844,50059.987,78.518,76.109,81.036,0,0,10122307679.0,10.122307679,130.229106,130229106
43227,41,Medium,WORLD,World,2063,10147949.115,5064568.18,5083380.935,77.82,99.63,37.967,25070.854,25070.237,0.247,129916.034,8386.915,2.034,29.29,104845.18,54359.326,50485.854,78.621,76.218,81.135,0,0,10147949115.0,10.147949115,129.916034,129916034
43228,42,Medium,WORLD,World,2064,10172513.775,5076284.359,5096229.417,78.008,99.609,38.081,24059.841,24059.083,0.237,129730.585,8275.01,2.027,29.309,105670.744,54753.12,50917.624,78.721,76.326,81.228,0,0,10172513775.0,10.172513775,129.73058500000002,129730585
43229,43,Medium,WORLD,World,2065,10195964.9,5087456.285,5108508.615,78.188,99.588,38.194,22843.838,22843.166,0.224,129297.695,8143.9,2.017,29.328,106453.857,55130.34,51323.517,78.824,76.437,81.323,0,0,10195964900.0,10.1959649,129.297695,129297695
43230,44,Medium,WORLD,World,2066,10218273.016,5098063.718,5120209.298,78.359,99.567,38.308,21773.457,21773.067,0.213,129015.56,8021.962,2.009,29.347,107242.103,55514.589,51727.514,78.925,76.545,81.416,0,0,10218273016.0,10.218273016,129.01556,129015560
43231,45,Medium,WORLD,World,2067,10239583.78,5108171.311,5131412.469,78.522,99.547,38.42,20848.989,20848.459,0.204,128851.429,7903.162,2.003,29.365,108002.44,55898.513,52103.927,79.023,76.649,81.508,0,0,10239583780.0,10.23958378,128.851429,128851429
43232,46,Medium,WORLD,World,2068,10259872.991,5117761.366,5142111.625,78.678,99.526,38.533,19730.597,19729.965,0.192,128481.564,7775.479,1.995,29.383,108750.967,56274.522,52476.445,79.122,76.753,81.603,0,0,10259872991.0,10.259872991,128.481564,128481564
43233,47,Medium,WORLD,World,2069,10279074.87,5126804.752,5152270.118,78.825,99.506,38.646,18674.407,18673.792,0.182,128156.285,7647.342,1.988,29.4,109481.878,56635.962,52845.916,79.22,76.86,81.693,0,0,10279074870.0,10.27907487,128.156285,128156285
43234,48,Medium,WORLD,World,2070,10297166.711,5135283.306,5161883.405,78.964,99.485,38.758,17510.554,17509.89,0.17,127734.032,7518.128,1.981,29.418,110223.478,57021.014,53202.464,79.317,76.961,81.786,0,0,10297166711.0,10.297166711,127.73403200000001,127734032
43235,49,Medium,WORLD,World,2071,10314142.303,5143189.581,5170952.722,79.094,99.463,38.871,16441.871,16441.294,0.159,127366.76,7395.268,1.974,29.435,110924.889,57376.053,53548.836,79.416,77.067,81.879,0,0,10314142303.0,10.314142303,127.36676,127366760
43236,50,Medium,WORLD,World,2072,10330059.854,5150565.32,5179494.535,79.216,99.441,38.985,15394.381,15393.809,0.149,127057.663,7280.644,1.97,29.451,111663.282,57735.138,53928.144,79.509,77.168,81.963,0,0,10330059854.0,10.330059854,127.057663,127057663
43237,51,Medium,WORLD,World,2073,10344891.492,5157397.868,5187493.624,79.33,99.42,39.099,14270.061,14269.467,0.138,126647.678,7157.87,1.964,29.468,112377.617,58092.823,54284.794,79.605,77.272,82.051,0,0,10344891492.0,10.344891492,126.647678,126647678
43238,52,Medium,WORLD,World,2074,10358552.763,5163634.696,5194918.066,79.435,99.398,39.214,13053.638,13053.074,0.126,126138.555,7031.739,1.958,29.486,113084.917,58455.656,54629.261,79.699,77.371,82.14,0,0,10358552763.0,10.358552763,126.138555,126138555
43239,53,Medium,WORLD,World,2075,10370994.198,5169250.791,5201743.407,79.53,99.375,39.33,11830.345,11829.797,0.114,125610.364,6912.347,1.951,29.504,113780.019,58803.442,54976.577,79.794,77.473,82.228,0,0,10370994198.0,10.370994198,125.610364,125610364
43240,54,Medium,WORLD,World,2076,10382180.397,5174238.982,5207941.414,79.616,99.353,39.447,10543.287,10542.599,0.102,125002.277,6787.825,1.945,29.522,114458.99,59129.396,55329.594,79.887,77.575,82.311,0,0,10382180397.0,10.382180397,125.002277,125002277
43241,55,Medium,WORLD,World,2077,10392082.0,5178580.262,5213501.737,79.692,99.33,39.565,9261.211,9260.607,0.089,124365.479,6665.667,1.938,29.541,115104.268,59458.945,55645.323,79.981,77.674,82.4,0,0,10392082000.0,10.392082,124.36547900000001,124365479
43242,56,Medium,WORLD,World,2078,10400749.753,5182291.475,5218458.278,79.758,99.307,39.685,8075.428,8074.9,0.078,123814.989,6555.183,1.933,29.56,115739.561,59780.308,55959.253,80.072,77.77,82.486,0,0,10400749753.0,10.400749753,123.814989,123814989
43243,57,Medium,WORLD,World,2079,10408266.922,5185422.042,5222844.88,79.816,99.283,39.806,6960.03,6959.438,0.067,123303.522,6446.07,1.929,29.579,116343.492,60075.104,56268.388,80.162,77.867,82.57,0,0,10408266922.0,10.408266922,123.303522,123303522
43244,58,Medium,WORLD,World,2080,10414637.189,5187975.886,5226661.303,79.865,99.26,39.928,5781.726,5781.095,0.056,122675.812,6339.772,1.924,29.598,116894.086,60348.151,56545.935,80.253,77.962,82.655,0,0,10414637189.0,10.414637189,122.67581200000001,122675812
43245,59,Medium,WORLD,World,2081,10419851.489,5189949.357,5229902.132,79.905,99.236,40.051,4648.223,4647.506,0.045,122061.916,6231.437,1.919,29.619,117413.693,60599.545,56814.148,80.342,78.057,82.737,0,0,10419851489.0,10.419851489,122.061916,122061916
43246,60,Medium,WORLD,World,2082,10424022.896,5191403.498,5232619.397,79.937,99.212,40.174,3695.971,3695.307,0.035,121564.29,6122.942,1.916,29.641,117868.319,60817.857,57050.462,80.432,78.155,82.819,0,0,10424022896.0,10.424022896,121.56429,121564290
43247,61,Medium,WORLD,World,2083,10427226.4,5192372.853,5234853.548,79.961,99.189,40.299,2712.331,2711.702,0.026,120968.156,6016.263,1.912,29.662,118255.825,61007.564,57248.261,80.525,78.252,82.908,0,0,10427226400.0,10.4272264,120.96815600000001,120968156
43248,62,Medium,WORLD,World,2084,10429447.395,5192850.546,5236596.849,79.978,99.165,40.425,1730.807,1730.288,0.017,120365.885,5909.954,1.907,29.684,118635.078,61187.568,57447.51,80.615,78.349,82.989,0,0,10429447395.0,10.429447395,120.36588499999999,120365885
43249,63,Medium,WORLD,World,2085,10430679.101,5192831.01,5237848.091,79.988,99.141,40.551,733.777,733.124,0.007,119678.778,5799.755,1.901,29.706,118945.001,61341.354,57603.647,80.705,78.445,83.073,0,0,10430679101.0,10.430679101,119.67877800000001,119678778
43250,64,Medium,WORLD,World,2086,10430926.281,5192308.611,5238617.669,79.99,99.116,40.678,-238.039,-238.765,-0.002,118975.344,5690.123,1.895,29.729,119213.383,61480.091,57733.292,80.797,78.54,83.16,0,0,10430926281.0,10.430926281,118.97534399999999,118975344
43251,65,Medium,WORLD,World,2087,10430267.624,5191321.302,5238946.321,79.985,99.091,40.805,-1077.971,-1078.549,-0.01,118384.844,5585.49,1.891,29.75,119462.815,61609.587,57853.228,80.886,78.635,83.243,0,0,10430267624.0,10.430267624,118.384844,118384844
43252,66,Medium,WORLD,World,2088,10428830.626,5189929.053,5238901.574,79.974,99.065,40.931,-1794.709,-1795.445,-0.017,117907.734,5484.431,1.888,29.773,119702.443,61744.215,57958.228,80.974,78.727,83.327,0,0,10428830626.0,10.428830626,117.90773399999999,117907734
43253,67,Medium,WORLD,World,2089,10426601.147,5188126.357,5238474.789,79.957,99.039,41.057,-2662.776,-2663.515,-0.026,117242.146,5371.616,1.882,29.796,119904.922,61845.183,58059.739,81.066,78.826,83.411,0,0,10426601147.0,10.426601147,117.24214599999999,117242146
43254,68,Medium,WORLD,World,2090,10423541.036,5185896.747,5237644.288,79.933,99.012,41.182,-3456.006,-3456.706,-0.033,116668.119,5270.53,1.877,29.819,120124.125,61963.186,58160.939,81.156,78.92,83.495,0,0,10423541036.0,10.423541036,116.668119,116668119
43255,69,Medium,WORLD,World,2091,10419647.132,5183229.224,5236417.907,79.903,98.984,41.306,-4330.561,-4331.102,-0.042,116014.029,5164.731,1.871,29.842,120344.59,62091.6,58252.99,81.246,79.013,83.581,0,0,10419647132.0,10.419647132,116.014029,116014029
43256,70,Medium,WORLD,World,2092,10414959.829,5180150.306,5234809.522,79.867,98.956,41.427,-5042.851,-5043.504,-0.048,115548.65,5064.693,1.867,29.865,120591.501,62211.106,58380.395,81.335,79.11,83.661,0,0,10414959829.0,10.414959829,115.54865,115548650
43257,71,Medium,WORLD,World,2093,10409491.089,5176669.8,5232821.288,79.825,98.927,41.545,-5893.448,-5893.977,-0.057,114951.659,4958.524,1.862,29.889,120845.107,62350.788,58494.319,81.426,79.205,83.748,0,0,10409491089.0,10.409491089,114.951659,114951659
43258,72,Medium,WORLD,World,2094,10403272.149,5172800.515,5230471.634,79.778,98.897,41.661,-6543.187,-6543.901,-0.063,114561.354,4860.47,1.86,29.912,121104.541,62482.193,58622.348,81.517,79.302,83.832,0,0,10403272149.0,10.403272149,114.56135400000001,114561354
43259,73,Medium,WORLD,World,2095,10396305.844,5168552.651,5227753.193,79.724,98.868,41.774,-7388.141,-7388.709,-0.071,113995.198,4755.006,1.855,29.936,121383.339,62618.235,58765.104,81.609,79.398,83.916,0,0,10396305844.0,10.396305844,113.995198,113995198
43260,74,Medium,WORLD,World,2096,10388517.149,5163893.81,5224623.339,79.664,98.838,41.884,-8187.988,-8188.681,-0.079,113492.904,4657.014,1.851,29.959,121680.892,62759.273,58921.619,81.698,79.493,83.999,0,0,10388517149.0,10.388517149,113.492904,113492904
43261,75,Medium,WORLD,World,2097,10379888.448,5158814.664,5221073.784,79.598,98.808,41.992,-9067.896,-9068.722,-0.087,112917.957,4554.919,1.846,29.983,121985.853,62908.69,59077.163,81.787,79.587,84.081,0,0,10379888448.0,10.379888448,112.917957,112917957
43262,76,Medium,WORLD,World,2098,10370445.196,5153334.151,5217111.046,79.526,98.778,42.097,-9817.313,-9817.781,-0.095,112457.152,4461.984,1.842,30.007,122274.465,63033.782,59240.683,81.877,79.682,84.165,0,0,10370445196.0,10.370445196,112.45715200000001,112457152
43263,77,Medium,WORLD,World,2099,10360269.362,5147497.978,5212771.384,79.448,98.748,42.2,-10533.215,-10533.889,-0.102,112004.38,4369.617,1.84,30.03,122537.595,63153.038,59384.557,81.969,79.778,84.252,0,0,10360269362.0,10.360269362,112.00438,112004380
43264,78,Medium,WORLD,World,2100,10349323.038,5141293.479,5208029.56,79.364,98.719,42.3,-11357.926,-11358.758,-0.11,111453.746,4274.206,1.835,30.054,122811.672,63255.546,59556.126,82.058,79.875,84.332,0,0,10349323038.0,10.349323038,111.453746,111453746
65780,0,High,WORLD,World,2022,7982260.249,4012265.713,3969994.536,61.212,101.065,30.213,81204.199,81203.867,1.017,148549.649,13867.919,2.566,28.285,67345.45,36263.683,31081.767,71.761,69.194,74.442,0,0,7982260249.0,7.982260249,148.54964900000002,148549649
65781,1,High,WORLD,World,2023,8066769.577,4054038.459,4012731.118,61.86,101.029,30.398,87815.38,87814.789,1.089,148880.556,13832.252,2.563,28.321,61065.176,32829.419,28235.757,73.413,70.852,76.041,0,0,8066769577.0,8.066769577,148.880556,148880556
65782,2,High,WORLD,World,2024,8154602.265,4097575.617,4057026.649,62.534,100.999,30.585,87851.03,87850.587,1.077,149132.629,13801.557,2.559,28.358,61281.599,32966.98,28314.619,73.732,71.161,76.368,0,0,8154602265.0,8.154602265,149.13262899999998,149132629
65783,3,High,WORLD,World,2025,8242091.446,4140877.956,4101213.49,63.205,100.967,30.764,87128.364,87127.774,1.057,149411.451,13778.906,2.555,28.396,62283.087,33502.505,28780.582,73.859,71.283,76.501,0,0,8242091446.0,8.242091446,149.411451,149411451
65784,4,High,WORLD,World,2026,8328842.776,4183749.013,4145093.764,63.87,100.933,30.937,86375.586,86374.887,1.037,149662.466,13764.901,2.549,28.435,63286.88,34035.469,29251.411,74.022,71.444,76.666,0,0,8328842776.0,8.328842776,149.662466,149662466
65785,5,High,WORLD,World,2027,8419249.044,4228449.791,4190799.253,64.563,100.898,31.086,94438.16,94437.648,1.122,158893.9,14424.433,2.696,28.497,64455.74,34657.474,29798.266,74.205,71.629,76.85,0,0,8419249044.0,8.419249044,158.8939,158893900
65786,6,High,WORLD,World,2028,8513318.61,4274984.428,4238334.183,65.285,100.865,31.209,93702.095,93701.484,1.101,159251.668,14381.23,2.69,28.538,65549.573,35237.235,30312.338,74.365,71.786,77.014,0,0,8513318609.999999,8.513318609999999,159.251668,159251668
65787,7,High,WORLD,World,2029,8606671.688,4321109.038,4285562.65,66.0,100.829,31.325,93005.103,93004.672,1.081,159652.168,14329.299,2.683,28.578,66647.065,35808.763,30838.302,74.524,71.947,77.173,0,0,8606671688.0,8.606671688,159.65216800000002,159652168
65788,8,High,WORLD,World,2030,8699311.724,4366835.329,4332476.394,66.711,100.793,31.435,92275.876,92275.399,1.061,160031.706,14259.949,2.676,28.616,67755.83,36383.928,31371.902,74.683,72.106,77.332,0,0,8699311724.0,8.699311724,160.031706,160031706
65789,9,High,WORLD,World,2031,8791198.362,4412148.559,4379049.803,67.415,100.756,31.539,91498.365,91497.877,1.041,160399.634,14182.89,2.668,28.654,68901.269,36972.181,31929.088,74.837,72.26,77.486,0,0,8791198362.0,8.791198362,160.399634,160399634
65790,10,High,WORLD,World,2032,8885350.27,4458605.451,4426744.819,68.137,100.72,31.629,96806.469,96805.94,1.09,166976.252,14539.667,2.762,28.701,70169.783,37622.174,32547.609,75.0,72.427,77.647,0,0,8885350270.0,8.88535027,166.97625200000002,166976252
65791,11,High,WORLD,World,2033,8981761.0,4506213.895,4475547.105,68.877,100.685,31.709,96015.971,96015.52,1.069,167407.918,14413.651,2.753,28.735,71391.947,38235.254,33156.693,75.15,72.582,77.793,0,0,8981761000.0,8.981761,167.407918,167407918
65792,12,High,WORLD,World,2034,9077392.307,4553422.618,4523969.689,69.61,100.651,31.787,95247.505,95247.093,1.049,167879.592,14287.592,2.745,28.764,72632.087,38856.813,33775.274,75.297,72.732,77.938,0,0,9077392307.0,9.077392307,167.879592,167879592
65793,13,High,WORLD,World,2035,9172233.38,4600234.828,4571998.552,70.337,100.618,31.859,94435.697,94435.054,1.03,168326.776,14137.431,2.737,28.792,73891.079,39476.033,34415.046,75.442,72.882,78.078,0,0,9172233380.0,9.17223338,168.32677600000002,168326776
65794,14,High,WORLD,World,2036,9266225.633,4646628.962,4619596.672,71.058,100.585,31.928,93549.725,93549.452,1.01,168701.241,13961.193,2.728,28.818,75151.516,40092.564,35058.952,75.586,73.031,78.218,0,0,9266225633.0,9.266225633,168.701241,168701241
65795,15,High,WORLD,World,2037,9359394.29,4692620.526,4666773.764,71.773,100.554,31.996,92788.294,92787.862,0.991,169215.432,13813.93,2.723,28.843,76427.138,40713.734,35713.404,75.728,73.179,78.355,0,0,9359394290.0,9.35939429,169.215432,169215432
65796,16,High,WORLD,World,2038,9451796.203,4738246.849,4713549.354,72.481,100.524,32.065,92016.461,92015.963,0.974,169728.693,13728.929,2.717,28.866,77712.232,41330.729,36381.503,75.868,73.326,78.489,0,0,9451796203.0,9.451796203,169.728693,169728693
65797,17,High,WORLD,World,2039,9543348.514,4783473.569,4759874.946,73.183,100.496,32.134,91089.145,91088.66,0.954,170087.258,13724.108,2.71,28.888,78998.113,41945.595,37052.518,76.005,73.47,78.621,0,0,9543348514.0,9.543348514,170.087258,170087258
65798,18,High,WORLD,World,2040,9634033.342,4828293.283,4805740.06,73.879,100.469,32.207,90281.433,90280.997,0.937,170569.316,13843.954,2.704,28.908,80287.883,42562.042,37725.841,76.141,73.612,78.751,0,0,9634033342.0,9.634033342,170.569316,170569316
65799,19,High,WORLD,World,2041,9723953.718,4872759.977,4851193.741,74.568,100.445,32.285,89560.282,89559.754,0.921,171116.673,14078.738,2.699,28.93,81556.391,43165.09,38391.301,76.277,73.756,78.881,0,0,9723953718.0,9.723953718,171.11667300000002,171116673
65800,20,High,WORLD,World,2042,9813174.866,4916910.975,4896263.891,75.252,100.422,32.365,88882.992,88882.542,0.906,171715.163,14197.009,2.694,28.951,82832.171,43769.828,39062.343,76.41,73.896,79.007,0,0,9813174866.0,9.813174866,171.715163,171715163
65801,21,High,WORLD,World,2043,9901728.191,4960759.754,4940968.436,75.932,100.401,32.446,88224.569,88224.108,0.891,172340.139,14176.821,2.689,28.971,84115.57,44385.821,39729.749,76.538,74.031,79.13,0,0,9901728191.0,9.901728191,172.340139,172340139
65802,22,High,WORLD,World,2044,9989648.886,5004321.635,4985327.251,76.606,100.381,32.523,87617.754,87617.282,0.877,173000.79,14190.128,2.683,28.995,85383.036,44990.587,40392.449,76.666,74.166,79.252,0,0,9989648886.0,9.989648886,173.00079,173000790
65803,23,High,WORLD,World,2045,10076984.203,5047626.093,5029358.111,77.276,100.363,32.6,87053.664,87053.352,0.864,173689.539,14262.677,2.677,29.018,86635.875,45584.267,41051.608,76.793,74.303,79.37,0,0,10076984203.0,10.076984203,173.689539,173689539
65804,24,High,WORLD,World,2046,10163800.076,5090704.104,5073095.973,77.941,100.347,32.677,86578.968,86578.394,0.852,174444.672,14394.564,2.67,29.043,87865.704,46177.798,41687.906,76.919,74.435,79.491,0,0,10163800076.0,10.163800076,174.444672,174444672
65805,25,High,WORLD,World,2047,10250164.911,5133583.298,5116581.613,78.604,100.332,32.751,86151.817,86151.276,0.84,175266.518,14447.927,2.663,29.068,89114.701,46781.405,42333.296,77.038,74.562,79.603,0,0,10250164911.0,10.250164911,175.26651800000002,175266518
65806,26,High,WORLD,World,2048,10336114.555,5176280.024,5159834.531,79.263,100.319,32.815,85748.519,85748.012,0.83,176083.996,14401.068,2.655,29.093,90335.477,47373.9,42961.577,77.157,74.689,79.715,0,0,10336114555.0,10.336114555,176.083996,176083996
65807,27,High,WORLD,World,2049,10421666.736,5218795.444,5202871.292,79.919,100.306,32.871,85356.772,85356.35,0.819,176889.629,14381.132,2.645,29.117,91532.857,47967.805,43565.052,77.275,74.814,79.829,0,0,10421666736.0,10.421666736,176.88962899999999,176889629
65808,28,High,WORLD,World,2050,10506906.237,5261162.793,5245743.444,80.572,100.294,32.919,85123.235,85122.652,0.81,177856.986,14403.363,2.636,29.139,92733.751,48569.912,44163.839,77.39,74.933,79.941,0,0,10506906237.0,10.506906237,177.856986,177856986
65809,29,High,WORLD,World,2051,10591886.078,5303408.787,5288477.291,81.224,100.282,32.96,84837.377,84837.029,0.801,178753.181,14449.564,2.625,29.16,93915.804,49157.244,44758.56,77.504,75.053,80.05,0,0,10591886078.0,10.591886078,178.753181,178753181
65810,30,High,WORLD,World,2052,10676780.877,5345623.265,5331157.612,81.875,100.271,32.98,84953.174,84952.571,0.796,180040.45,14456.96,2.618,29.18,95087.276,49744.187,45343.089,77.618,75.173,80.16,0,0,10676780877.0,10.676780877,180.04045000000002,180040450
65811,31,High,WORLD,World,2053,10761677.716,5387845.637,5373832.078,82.526,100.261,32.974,84841.618,84841.105,0.788,181089.58,14368.979,2.607,29.198,96247.962,50331.099,45916.863,77.732,75.292,80.27,0,0,10761677716.0,10.761677716,181.08957999999998,181089580
65812,32,High,WORLD,World,2054,10846560.959,5430068.336,5416492.624,83.177,100.251,32.943,84925.972,84925.383,0.783,182311.948,14281.568,2.597,29.214,97385.976,50899.361,46486.615,77.845,75.411,80.379,0,0,10846560959.0,10.846560959,182.311948,182311948
65813,33,High,WORLD,World,2055,10931514.122,5472336.355,5459177.767,83.828,100.241,32.891,84981.462,84980.942,0.777,183508.055,14195.237,2.587,29.227,98526.593,51473.638,47052.955,77.956,75.527,80.486,0,0,10931514122.0,10.931514122,183.50805499999998,183508055
65814,34,High,WORLD,World,2056,11016567.268,5514669.417,5501897.851,84.481,100.232,32.884,85126.017,85125.349,0.773,184788.143,14115.177,2.577,29.238,99662.126,52031.763,47630.363,78.063,75.641,80.587,0,0,11016567268.0,11.016567268,184.78814300000002,184788143
65815,35,High,WORLD,World,2057,11101775.368,5557100.829,5544674.539,85.134,100.224,32.917,85291.307,85290.853,0.768,186038.596,14035.599,2.568,29.249,100747.289,52566.023,48181.266,78.175,75.76,80.693,0,0,11101775368.0,11.101775368,186.03859599999998,186038596
65816,36,High,WORLD,World,2058,11187147.98,5599631.442,5587516.537,85.789,100.217,32.943,85455.11,85454.37,0.764,187262.962,13950.701,2.558,29.26,101807.852,53095.46,48712.392,78.284,75.875,80.798,0,0,11187147980.0,11.18714798,187.262962,187262962
65817,37,High,WORLD,World,2059,11272584.886,5642213.334,5630371.552,86.444,100.21,32.962,85420.165,85419.441,0.758,188261.351,13872.158,2.545,29.268,102841.186,53599.483,49241.703,78.392,75.99,80.898,0,0,11272584886.0,11.272584886,188.261351,188261351
65818,38,High,WORLD,World,2060,11358134.018,5684874.945,5673259.073,87.1,100.205,32.977,85679.383,85678.824,0.754,189523.446,13811.199,2.538,29.278,103844.063,54091.431,49752.632,78.5,76.105,81,0,0,11358134018.0,11.358134018,189.523446,189523446
65819,39,High,WORLD,World,2061,11443936.956,5727683.822,5716253.134,87.758,100.2,33.014,85927.589,85927.052,0.751,190755.408,13758.591,2.53,29.288,104827.819,54579.41,50248.409,78.605,76.215,81.1,0,0,11443936956.0,11.443936956,190.755408,190755408
65820,40,High,WORLD,World,2062,11530016.714,5770657.646,5759359.067,88.418,100.196,33.074,86233.066,86232.464,0.748,192003.374,13711.955,2.524,29.299,105770.308,55029.153,50741.155,78.71,76.33,81.196,0,0,11530016714.0,11.530016714,192.003374,192003374
65821,41,High,WORLD,World,2063,11616295.562,5813755.759,5802539.803,89.08,100.193,33.129,86325.705,86325.232,0.743,192977.753,13651.648,2.516,29.311,106652.048,55466.325,51185.723,78.817,76.444,81.297,0,0,11616295562.0,11.616295562,192.977753,192977753
65822,42,High,WORLD,World,2064,11702691.659,5856930.726,5845760.932,89.742,100.191,33.181,86467.723,86466.961,0.739,193999.456,13613.488,2.509,29.321,107531.733,55894.913,51636.82,78.919,76.554,81.391,0,0,11702691659.0,11.702691659,193.999456,193999456
65823,43,High,WORLD,World,2065,11789065.841,5900112.457,5888953.385,90.405,100.189,33.228,86282.066,86281.405,0.732,194650.82,13555.428,2.499,29.331,108368.754,56306.712,52062.042,79.024,76.668,81.488,0,0,11789065841.0,11.789065841,194.65082,194650820
65824,44,High,WORLD,World,2066,11875308.482,5943238.944,5932069.539,91.066,100.188,33.287,86204.309,86203.877,0.726,195417.559,13513,2.492,29.341,109213.25,56727.28,52485.97,79.126,76.779,81.582,0,0,11875308482.0,11.875308482,195.417559,195417559
65825,45,High,WORLD,World,2067,11961532.648,5986357.423,5975175.225,91.727,100.187,33.362,86245.077,86244.453,0.721,196278.17,13477.802,2.487,29.35,110033.093,57149.614,52883.479,79.226,76.885,81.675,0,0,11961532648.0,11.961532648,196.27817000000002,196278170
65826,46,High,WORLD,World,2068,12047662.163,6029423.344,6018238.819,92.388,100.186,33.439,86015.166,86014.578,0.714,196857.859,13433.703,2.479,29.359,110842.693,57565.421,53277.272,79.326,76.991,81.77,0,0,12047662163.0,12.047662163,196.857859,196857859
65827,47,High,WORLD,World,2069,12133590.492,6072386.707,6061203.785,93.047,100.185,33.514,85842.606,85842.081,0.707,197480.43,13397.692,2.472,29.368,111637.824,57968.219,53669.605,79.426,77.1,81.86,0,0,12133590492.0,12.133590492,197.48042999999998,197480430
65828,48,High,WORLD,World,2070,12219278.565,6115220.407,6104058.157,93.704,100.183,33.587,85534.703,85534.064,0.7,197981.245,13360.597,2.465,29.377,112446.542,58396.935,54049.607,79.523,77.202,81.953,0,0,12219278565.0,12.219278565,197.981245,197981245
65829,49,High,WORLD,World,2071,12304716.727,6157914.746,6146801.981,94.359,100.181,33.658,85342.898,85342.26,0.694,198561.932,13329.983,2.459,29.387,113219.034,58797.794,54421.24,79.623,77.309,82.047,0,0,12304716727.0,12.304716727,198.561932,198561932
65830,50,High,WORLD,World,2072,12389989.076,6200524.336,6189464.74,95.013,100.179,33.728,85203.095,85202.438,0.688,199237.187,13307.879,2.454,29.396,114034.092,59206.4,54827.692,79.718,77.412,82.132,0,0,12389989076.0,12.389989076,199.237187,199237187
65831,51,High,WORLD,World,2073,12475093.563,6243048.931,6232044.631,95.665,100.177,33.796,85007.06,85006.535,0.681,199835.853,13270.127,2.449,29.406,114828.793,59615.432,55213.361,79.815,77.519,82.22,0,0,12475093563.0,12.475093563,199.83585300000001,199835853
65832,52,High,WORLD,World,2074,12559966.848,6285446.682,6274520.166,96.316,100.174,33.862,84740.42,84740.036,0.675,200362.315,13224.119,2.443,29.417,115621.895,60033.281,55588.614,79.91,77.62,82.309,0,0,12559966848.0,12.559966848,200.362315,200362315
65833,53,High,WORLD,World,2075,12644591.875,6327708.593,6316883.282,96.965,100.171,33.926,84510.6,84510.018,0.668,200917.916,13183.441,2.437,29.428,116407.316,60439.188,55968.128,80.007,77.724,82.398,0,0,12644591875.0,12.644591875,200.917916,200917916
65834,54,High,WORLD,World,2076,12728972.398,6369846.675,6359125.723,97.612,100.169,33.989,84251.682,84251.029,0.662,201434.109,13130.485,2.43,29.439,117182.427,60826.544,56355.883,80.102,77.829,82.483,0,0,12728972398.0,12.728972398,201.434109,201434109
