,scenario_name,year_id,val
0,High,2023,148880556.0
1,High,2024,298013185.0
2,High,2025,447424636.0
3,High,2026,597087102.0
4,High,2027,755981002.0
5,High,2028,915232670.0
6,High,2029,1074884838.0
7,High,2030,1234916544.0
8,High,2031,1395316178.0
9,High,2032,1562292430.0
10,High,2033,1729700348.0
11,High,2034,1897579940.0
12,High,2035,2065906716.0
13,High,2036,2234607957.0
14,High,2037,2403823389.0
15,High,2038,2573552082.0
16,High,2039,2743639340.0
17,High,2040,2914208656.0
18,High,2041,3085325329.0
19,High,2042,3257040492.0
20,High,2043,3429380631.0
21,High,2044,3602381421.0
22,High,2045,3776070960.0
23,High,2046,3950515632.0
24,High,2047,4125782150.0
25,High,2048,4301866146.0
26,High,2049,4478755775.0
27,High,2050,4656612761.0
28,High,2051,4835365942.0
29,High,2052,5015406392.0
30,High,2053,5196495972.0
31,High,2054,5378807920.0
32,High,2055,5562315975.0
33,High,2056,5747104118.0
34,High,2057,5933142714.0
35,High,2058,6120405676.0
36,High,2059,6308667027.0
37,High,2060,6498190473.0
38,High,2061,6688945881.0
39,High,2062,6880949255.0
40,High,2063,7073927008.0
41,High,2064,7267926464.0
42,High,2065,7462577284.0
43,High,2066,7657994843.0
44,High,2067,7854273013.0
45,High,2068,8051130872.0
46,High,2069,8248611302.0
47,High,2070,8446592547.0
48,High,2071,8645154479.0
49,High,2072,8844391666.0
50,High,2073,9044227519.0
51,High,2074,9244589834.0
52,High,2075,9445507750.0
53,High,2076,9646941859.0
54,High,2077,9848925025.0
55,High,2078,10051611564.0
56,High,2079,10255126164.0
57,High,2080,10459358827.0
58,High,2081,10664376117.0
59,High,2082,10870368707.0
60,High,2083,11077230476.0
61,High,2084,11284961215.0
62,High,2085,11493444263.0
63,High,2086,11702654310.0
64,High,2087,11912725050.0
65,High,2088,12123799174.0
66,High,2089,12335590752.0
67,High,2090,12548173706.0
68,High,2091,12761397330.0
69,High,2092,12975495957.0
70,High,2093,13190227217.0
71,High,2094,13405863257.0
72,High,2095,13622119473.0
73,High,2096,13839040955.0
74,High,2097,14056501308.0
75,High,2098,14274637297.0
76,High,2099,14493456651.0
77,High,2100,14712784453.0
78,Low,2023,119677425.0
79,Low,2024,239512764.0
80,Low,2025,359526451.0
81,Low,2026,479683583.0
82,Low,2027,591201100.0
83,Low,2028,702884811.0
84,Low,2029,814760774.0
85,Low,2030,926790815.0
86,Low,2031,1038948626.0
87,Low,2032,1145329001.0
88,Low,2033,1251803855.0
89,Low,2034,1358395017.0
90,Low,2035,1465068751.0
91,Low,2036,1571753027.0
92,Low,2037,1678563503.0
93,Low,2038,1785434411.0
94,Low,2039,1892113146.0
95,Low,2040,1998595139.0
96,Low,2041,2104811847.0
97,Low,2042,2210644728.0
98,Low,2043,2315934143.0
99,Low,2044,2420547613.0
100,Low,2045,2524342364.0
101,Low,2046,2627213637.0
102,Low,2047,2729042201.0
103,Low,2048,2829636650.0
104,Low,2049,2928812119.0
105,Low,2050,3026553281.0
106,Low,2051,3122661051.0
107,Low,2052,3217368225.0
108,Low,2053,3310402534.0
109,Low,2054,3401886126.0
110,Low,2055,3491812991.0
111,Low,2056,3580279806.0
112,Low,2057,3667315484.0
113,Low,2058,3752964808.0
114,Low,2059,3837173168.0
115,Low,2060,3920228437.0
116,Low,2061,4002201812.0
117,Low,2062,4083218569.0
118,Low,2063,4163204384.0
119,Low,2064,4242338099.0
120,Low,2065,4320471281.0
121,Low,2066,4397776978.0
122,Low,2067,4474393795.0
123,Low,2068,4550193562.0
124,Low,2069,4625231813.0
125,Low,2070,4699459137.0
126,Low,2071,4772937899.0
127,Low,2072,4845729257.0
128,Low,2073,4917750342.0
129,Low,2074,4988921532.0
130,Low,2075,5059228693.0
131,Low,2076,5128604083.0
132,Low,2077,5197010838.0
133,Low,2078,5264519521.0
134,Low,2079,5331133054.0
135,Low,2080,5396765107.0
136,Low,2081,5461410794.0
137,Low,2082,5525142547.0
138,Low,2083,5587882866.0
139,Low,2084,5649629310.0
140,Low,2085,5710326350.0
141,Low,2086,5769963442.0
142,Low,2087,5828629814.0
143,Low,2088,5886407175.0
144,Low,2089,5943176555.0
145,Low,2090,5999029513.0
146,Low,2091,6053930260.0
147,Low,2092,6108019126.0
148,Low,2093,6161239490.0
149,Low,2094,6213738374.0
150,Low,2095,6265419699.0
151,Low,2096,6316357172.0
152,Low,2097,6366519478.0
153,Low,2098,6416005184.0
154,Low,2099,6464830394.0
155,Low,2100,6512962331.0
156,Medium,2023,134279612.0
157,Medium,2024,268764171.0
158,Medium,2025,403476299.0
159,Medium,2026,538383357.0
160,Medium,2027,673581738.0
161,Medium,2028,809037346.0
162,Medium,2029,944784239.0
163,Medium,2030,1080793196.0
164,Medium,2031,1217046777.0
165,Medium,2032,1353695659.0
166,Medium,2033,1490606735.0
167,Medium,2034,1627811004.0
168,Medium,2035,1765281560.0
169,Medium,2036,1902953378.0
170,Medium,2037,2040956499.0
171,Medium,2038,2179250858.0
172,Medium,2039,2317617419.0
173,Medium,2040,2456090868.0
174,Medium,2041,2594647443.0
175,Medium,2042,2733225692.0
176,Medium,2043,2871725851.0
177,Medium,2044,3010065524.0
